"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
1450,100,1,2,3,40.4436137,-3.7849914,1,0,1,0,1,1,1,0,1,0
1500,65,1,2,3,40.4341742,-3.6695135,1,0,0,0,0,0,1,0,0,0
1500,115,1,2,1,40.4208889,-3.6749286,1,0,0,0,0,0,1,0,0,0
1500,80,1,2,0,40.4181706,-3.6735148,1,0,0,1,0,0,0,0,0,0
1500,105,1,2,3,40.0337568,-3.600944,1,0,0,1,0,0,1,0,0,0
1550,70,1,2,0,40.44296,-3.67308,1,0,0,0,0,0,1,0,0,0
1600,73,1,2,1,40.4123651,-3.6980884,0,0,0,0,0,0,1,0,0,0
1600,83,1,2,1,40.4238458,-3.663232,1,0,0,0,0,0,1,0,0,0
1600,95,1,2,0,40.4594542,-3.6884352,1,0,0,0,0,0,0,0,0,0
1600,63,1,2,0,40.4462803,-3.707206,0,0,0,0,0,0,1,1,0,0
1600,125,1,2,3,40.5323387,-3.6431776,1,0,0,1,1,1,1,1,0,0
1600,50,1,2,0,40.414912,-3.6753105,0,0,0,0,0,0,0,0,0,0
1600,95,1,2,0,40.45858,-3.781691,0,0,0,1,0,0,1,0,0,0
1600,60,1,2,1,40.4226607,-3.6737525,1,0,0,0,0,0,0,0,0,0
1600,85,1,2,3,40.4669284,-3.796626,1,0,1,1,1,1,1,0,1,0
1670,62,1,2,0,40.4461678,-3.7090594,1,0,0,0,0,0,1,0,0,0
1695,76,1,2,3,40.4360455,-3.6742854,1,0,0,1,0,0,1,0,0,0
1695,90,1,2,4,40.4117439,-3.7097157,1,0,0,1,0,0,1,0,0,0
1700,78,1,2,11,40.4491026,-3.659179,1,0,0,1,1,1,1,1,1,0
1700,50,1,2,3,40.4128333,-3.7150603,1,0,0,0,0,0,1,0,0,0
1700,79,1,2,2,40.4101555,-3.7062845,1,0,0,0,0,0,1,0,0,0
1700,110,1,2,0,40.4346327,-3.653556,0,0,0,1,0,0,1,1,0,0
1750,80,1,2,2,40.426347,-3.7058721,0,0,0,0,0,0,0,0,0,0
1750,80,1,2,2,40.4271009,-3.7058612,0,0,0,0,0,0,0,0,0,0
1750,80,1,2,2,40.4242509,-3.7066638,0,0,0,0,0,0,0,0,0,0
1750,82,1,2,2,40.4123792,-3.7042626,0,0,0,0,0,0,1,0,0,0
1750,65,1,2,3,40.4726921,-3.6907061,1,0,0,0,1,0,1,0,0,0
1750,93,1,2,3,40.4446831,-3.6962384,1,0,0,0,0,0,1,0,0,0
